Name	V1	V2
SNRPG	Potra001024g08551	Potra2n6c13472
SNRPG	Potra000792g06279	Potra2n6c13472Ê
SNRPB/N	Potra173619g27660	Potra2n11c22477
SNRPB/N	Potra176450g27884	Potra2n11c22477
SNRPD1	Potra161549g26946	Potra2n5c10994
SNRPD1	Potra002287g17519	Potra2n5c10994
SNRPD2	Potra001960g15483	Potra2n14c27408
SNRPD2	Potra002459g18638	Potra2n14c27408Ê
SNRPD3	Potra002306g35109	Potra2n2c6364
SNRPD3	Potra180305g28088	Potra2n2c6364
SNRPF	Potra000615g04675	Potra2n8c17320Ê
SNRPF		Potra2n8c17320
SNRPE	Potra001273g10998	Potra2n6c13821
SNRPE	Potra001877g14982	Potra2n6c13821Ê
		
LSM1A	Potra002871g20197	Potra2n1c1466
LSM1B	Potra004016g24247	Potra2n1c1466
LSM2	Potra001023g08545	Potra2n4c10338Ê
LSM2	Potra001112g09762	
LSM3A	Potra002041g15955	Potra2n5c11140
LSM3B	Potra001691g13824	Potra2n5c11140
LSM4	Potra001545g12807	Potra2n2c4537
LSM4	Potra003495g21827	
LSM5	Potra001094g09528	
LSM5	Potra170671g27537	
LSM6A	Potra001726g14048	Potra2n8c17320
LSM6B	Potra001246g10699.	Potra2n8c17320Ê
LSM7	Potra001086g09428	Potra2n1c2324
LSM7	Potra001075g09291.	
LSM8	Potra001094g09529	Potra2n1c2419
